word,total_freq,doc_freq,doc_ratio,AS_freq,AR_freq,RMJ_freq,AA_freq
discovery,46,28,1.7,8,12,18,8
one,46,44,2.6,12,19,13,2
hand,46,40,2.4,13,12,10,11
situation,46,41,2.5,13,8,21,4
inquiry,46,41,2.5,24,9,4,9
operation,46,40,2.4,10,4,26,6
step,46,41,2.5,12,9,17,8
complexity,46,41,2.5,14,11,15,6
item,46,40,2.4,10,11,5,20
line,46,40,2.4,16,6,11,13
live,46,37,2.2,15,19,4,8
advocate,45,41,2.5,19,8,5,13
humanity,45,28,1.7,27,3,1,14
appear,45,44,2.6,16,11,10,8
single,45,42,2.5,16,4,18,7
degree,45,40,2.4,13,5,17,10
rely,45,45,2.7,15,7,11,12
company,45,28,1.7,15,8,19,3
