Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Quartile;H index;Total Docs. (2024);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
60;18735;"Accountability in Research";journal;"15455815, 08989621";"Taylor and Francis Ltd.";No;No;0,636;Q1;40;146;118;5798;390;104;3,10;39,71;48,72;6;14;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1989-2025";"Library and Information Sciences (Q1); Education (Q2); Medicine (miscellaneous) (Q2)";"Medicine; Social Sciences"
61;12813;"Journal of Information Science";journal;"01655515, 17416485";"SAGE Publications Ltd";No;No;0,629;Q1;81;161;337;9844;1210;337;3,39;61,14;43,13;2;28;United Kingdom;Western Europe;"SAGE Publications Ltd";"1979-2025";"Library and Information Sciences (Q1); Information Systems (Q2)";"Computer Science; Social Sciences"
62;15933;"Portal";journal;"15307131, 15312542";"Johns Hopkins University Press";No;No;0,623;Q1;45;40;141;1632;168;128;1,16;40,80;73,49;0;2;United States;Northern America;"Johns Hopkins University Press";"2001-2024";"Library and Information Sciences (Q1); Development (Q2)";"Social Sciences"
63;21100329302;"Journal of Information Literacy";journal;"17505968";"CILIP Information Literacy Group";Yes;Yes;0,587;Q1;17;34;81;1121;127;67;1,51;32,97;62,79;0;1;United Kingdom;Western Europe;"CILIP Information Literacy Group";"2014-2024";"Library and Information Sciences (Q1); Education (Q2); E-learning (Q2)";"Social Sciences"
64;21101188408;"Frontiers in Research Metrics and Analytics";journal;"25040537";"Frontiers Media SA";Yes;No;0,576;Q1;25;56;248;2652;588;226;1,44;47,36;54,46;0;26;Switzerland;Western Europe;"Frontiers Media SA";"2016-2024";"Library and Information Sciences (Q1); Social Sciences (miscellaneous) (Q1)";"Social Sciences"
65;25991;"Social Science Information";journal;"05390184, 14617412";"SAGE Publications Ltd";No;No;0,575;Q1;48;22;90;1879;194;83;1,36;85,41;41,03;0;5;United Kingdom;Western Europe;"SAGE Publications Ltd";"1962-2024";"Library and Information Sciences (Q1); Social Sciences (miscellaneous) (Q1)";"Social Sciences"
66;4700152795;"Journal of Library Administration";journal;"01930826";"Routledge";No;No;0,574;Q1;35;63;202;1969;290;202;1,29;31,25;67,46;0;13;United States;Northern America;"Routledge";"1980-2025";"Library and Information Sciences (Q1); Public Administration (Q2)";"Social Sciences"
67;98245;"Library Resources and Technical Services";journal;"00242527";"American Library Association";No;No;0,566;Q1;26;15;45;569;36;34;0,90;37,93;79,17;0;2;United States;Northern America;"American Library Association";"1978-1979, 1981-1984, 1988-2024";"Library and Information Sciences (Q1); Information Systems (Q2)";"Computer Science; Social Sciences"
68;21101092537;"Transactions of the International Society for Music Information Retrieval";journal;"25143298";"Ubiquity Press";Yes;No;0,560;Q1;18;21;49;1051;138;49;2,93;50,05;19,61;0;1;United Kingdom;Western Europe;"Ubiquity Press";"2019-2024";"Library and Information Sciences (Q1); Linguistics and Language (Q1); Museology (Q1); Music (Q1); Electrical and Electronic Engineering (Q2)";"Arts and Humanities; Engineering; Social Sciences"
69;12709;"Information Technology and Libraries";journal;"07309295, 21635226";"American Library Association";Yes;Yes;0,559;Q1;41;31;101;760;157;80;1,23;24,52;52,31;0;7;United States;Northern America;"American Library Association";"1971-1974, 1988-2024";"Library and Information Sciences (Q1); Information Systems (Q2)";"Computer Science; Social Sciences"
70;21100943572;"Journal of the Canadian Health Libraries Association";journal;"17086892";"Canadian Health Libraries Association";Yes;Yes;0,548;Q1;7;14;32;288;38;24;1,21;20,57;91,18;0;1;Canada;Northern America;"Canadian Health Libraries Association";"2018-2024";"Library and Information Sciences (Q1); Medicine (miscellaneous) (Q2)";"Medicine; Social Sciences"
71;14721;"Medical Reference Services Quarterly";journal;"02763869, 15409597";"Routledge";No;No;0,548;Q1;30;29;109;598;133;95;0,97;20,62;71,01;0;2;United States;Northern America;"Routledge";"1982-2025";"Library and Information Sciences (Q1); Health Informatics (Q3)";"Medicine; Social Sciences"
