journal,title,author,year,volume,issue,doi,abstract
American Archivist,"Home front records of New York, 1940-1945: The problem of disposition",Hartzell K.,1946,9,2,10.17723/aarc.9.2.x5v74645l430w20m,
American Archivist,Storage of records in Minnesota,Dorweiler L.,1946,9,2,10.17723/aarc.9.2.57t3llt1k5331708,
American Archivist,Arcana Siwash: The function and needs of a college archives,Le Duc T.,1946,9,2,10.17723/aarc.9.2.w55162356xmq31n2,
American Archivist,The ninth annual meeting of the Society of American Archivists,Josephson B.,1946,9,2,10.17723/aarc.9.2.lw13k3727703pj3q,
American Archivist,Treatment of fire and water damaged records,Minogue A.,1946,9,1,10.17723/aarc.9.1.2u18w8m86k174431,
American Archivist,The San Francisco UNCIO documents,Bruce W.,1946,9,1,10.17723/aarc.9.1.h3467646j18k07vl,
American Archivist,Policy documentation in the War Production Board,Stark M.,1946,9,1,10.17723/aarc.9.1.2072t01n5h01uw47,
American Archivist,Classification scheme for archival literature,Mookerjee S.,1947,10,4,10.17723/aarc.10.4.4u7w242502807227,
American Archivist,Capitán Joaquín Llaverías and the Boletín del Archivo National,Hill R.,1947,10,4,10.17723/aarc.10.4.37731071523v2132,
American Archivist,Sampling rural rehabilitation records for transfer to the National Archives,Kulsrud C.,1947,10,4,10.17723/aarc.10.4.u6826l717h873137,
American Archivist,Guides to records of World War II,Hamer P.,1947,10,4,10.17723/aarc.10.4.l234450525121705,
American Archivist,Senate debate on public records,Vaughan J.,1947,10,3,10.17723/aarc.10.3.812v4p03w31m26p0,
American Archivist,The role of records in administration,Marx F.M.,1947,10,3,10.17723/aarc.10.3.f354v0x358486416,
American Archivist,Wartime photographic activities and records resulting therefrom,Holmes D.,1947,10,3,10.17723/aarc.10.3.1q687m1553317472,
American Archivist,From Binkley to Bush,Tate V.,1947,10,3,10.17723/aarc.10.3.yr86jr3w0598m881,
American Archivist,Short sketch of the archives of three rivers,Douville R.,1947,10,3,10.17723/aarc.10.3.q2744298382x1326,
American Archivist,The records of international meetings,Spaulding E.,1947,10,3,10.17723/aarc.10.3.g0606205557gk442,
American Archivist,Letter sent to archivists of foreign countries concerning the organization of an international archives council,,1947,10,3,10.17723/aarc.10.3.g52662228524x531,
American Archivist,The first decade of the Society of American Archivists,Brooks P.,1947,10,2,10.17723/aarc.10.2.4772825464523654,
American Archivist,The records of the Denver and Rio Grande western railroad,Taylor D.,1947,10,2,10.17723/aarc.10.2.w71t3v5g32697j55,
American Archivist,Indexing,Josephson B.,1947,10,2,10.17723/aarc.10.2.58u4709h4h5h4268,
American Archivist,The United Nations Archives,Claus R.,1947,10,2,10.17723/aarc.10.2.l778r7486766785j,
American Archivist,Records of the Island of St. Helena Lat. 15° 55′ S. Long. 5° 428W.,Kitching G.C.,1947,10,2,10.17723/aarc.10.2.5t12127586562122,
American Archivist,Department of public records and archives of Ontario,McClung H.,1947,10,2,10.17723/aarc.10.2.nt44828n87550330,
American Archivist,A university cares for its war contract records,Lovett R.,1947,10,1,10.17723/aarc.10.1.h11276270j774l44,
American Archivist,The archives and documents of the Preparatory Commission of the United Nations,Dougall R.,1947,10,1,10.17723/aarc.10.1.1638585763774821,
American Archivist,"The archivist's ""One World""",Buck S.,1947,10,1,10.17723/aarc.10.1.g1vw8301t1150450,
American Archivist,The tenth annual meeting of the Society of American Archivists,Bahmer R.,1947,10,1,10.17723/aarc.10.1.01117666673p3g37,
American Archivist,Black writing ink of the colonial period,Barrow W.J.,1948,11,4,10.17723/aarc.11.4.903256p5lp2g3354,
American Archivist,Archives in Canada,Simpson G.,1948,11,4,10.17723/aarc.11.4.j5433151t5q17136,
American Archivist,"Report on the meeting of professional archivists called by the United Nations Educational, Scientific, and Cultural Organization, June 9 to 11, 1948, Paris, France",Brayer H.,1948,11,4,10.17723/aarc.11.4.2624225664540q49,
American Archivist,Black writing ink of the colonial period,Barrow W.,1948,11,4,,
American Archivist,The archives program of the United Nations,Claus R.,1948,11,3,10.17723/aarc.11.3.wgv4700012h2t745,
American Archivist,A practical guide to calendaring,Radoff M.,1948,11,3,10.17723/aarc.11.3.nx6280w6u6553580,
American Archivist,The present state of Czechoslovak archives,Polisensky J.V.,1948,11,3,10.17723/aarc.11.3.x4355j86r77381x2,
American Archivist,The archival profession in eclipse,Schiller I.,1948,11,3,10.17723/aarc.11.3.fl824882351k0945,
American Archivist,The organization and status of archival training in the United States,Trever K.,1948,11,2,10.17723/aarc.11.2.4178j71382770886,
American Archivist,The machine age in historical research,Lawson M.G.,1948,11,2,10.17723/aarc.11.2.k10wv0736708370q,
American Archivist,The eleventh annual meeting of the Society of American Archivists,Brayer H.,1948,11,2,10.17723/aarc.11.2.j6kxl754854hn65w,
American Archivist,The Italian archives during the war,Re E.,1948,11,2,10.17723/aarc.11.2.2xn420u85t403127,
American Archivist,A guide to practical calendaring,Radoff M.,1948,11,2,10.17723/aarc.11.2.38417u78xu694352,
American Archivist,The materials of history,Wake J.,1948,11,1,10.17723/aarc.11.1.x7q7k8476k884346,
American Archivist,Manuscripts in the Library of Congress: 1800-1900,Shelley F.,1948,11,1,10.17723/aarc.11.1.e24357172612201k,
American Archivist,The responsibility of the state archivist to the other officers of his state government,Eddy H.,1948,11,1,10.17723/aarc.11.1.y6h4630874583538,
American Archivist,The work of the war archives sections in New Zealand and Australia,Grayland E.,1948,11,1,10.17723/aarc.11.1.fu5p73616h09tt50,
American Archivist,The place of county records in the state archival system,De Valinger L.,1948,11,1,10.17723/aarc.11.1.8x1m283001mq114w,
American Archivist,The processing procedures of the Manuscript Department of Duke University Library,Russell M.,1949,12,4,10.17723/aarc.12.4.t8088h7535u31l12,
American Archivist,A note on the authentication of documents,Kahn H.,1949,12,4,10.17723/aarc.12.4.2vt84231vl635638,
American Archivist,What the genealogist expects of an archival agency or historical society,Rubincam M.,1949,12,4,10.17723/aarc.12.4.g55811116u602851,
American Archivist,A plan of organization for a university archives,Browne H.,1949,12,4,10.17723/aarc.12.4.2g871078541tp843,
American Archivist,The national archives at a turn in the road,Holmes O.,1949,12,4,10.17723/aarc.12.4.9515876g341h8864,
American Archivist,FDR visits the national archives,Connor R.D.W.,1949,12,4,10.17723/aarc.12.4.g66381j31p0848n8,
American Archivist,Modern records management,Leahy E.,1949,12,3,10.17723/aarc.12.3.52344260u1064020,
American Archivist,The archival program of Pennsylvania,Eddy H.,1949,12,3,10.17723/aarc.12.3.mj892l155h222276,
American Archivist,The scholar's interest in personnel records,Wright A.R.,1949,12,3,10.17723/aarc.12.3.e6x4588117245qv8,
American Archivist,The archival program of Wisconsin,Lord C.,1949,12,3,10.17723/aarc.12.3.mu4kh6848797v828,
American Archivist,The conservation of medieval seals in the Swedish Riksarkiv,Fleetwood G.,1949,12,2,10.17723/aarc.12.2.tu30848206l52x35,
American Archivist,Archival activity in American universities and colleges,Jennings J.,1949,12,2,10.17723/aarc.12.2.j8217m30733353k6,
American Archivist,The interest of J. Franklin Jameson in the national archives: 1908-1934,Shelley F.,1949,12,2,10.17723/aarc.12.2.q6823q7k77586788,
American Archivist,The twelfth annual meeting of the Society of American Archivists,Van Schreeven W.,1949,12,2,10.17723/aarc.12.2.2110n10317111m67,
American Archivist,The papers of Thomas Jefferson: Progress and procedures in the enterprise at Princeton,Butterfield L.H.,1949,12,2,10.17723/aarc.12.2.h4663g5537410524,
American Archivist,Archives in the Library of Congress,Andreassen J.,1949,12,1,10.17723/aarc.12.1.dh82325045x77574,
American Archivist,Research for the archivist of today and tomorrow,Lewis H.F.,1949,12,1,10.17723/aarc.12.1.dw1772487q200266,
American Archivist,The archives of small business,Clark T.,1949,12,1,10.17723/aarc.12.1.67485x412n745786,
American Archivist,The archivist as a public servant,Crittenden C.,1949,12,1,10.17723/aarc.12.1.v857q42760064548,
American Archivist,Hawaii territorial archives in the war,Jones M.,1949,12,1,10.17723/aarc.12.1.x20732w8445p408l,
American Archivist,Records of the American School of Classical Studies at Athens,Broneer O.,1949,12,1,10.17723/aarc.12.1.er580j7181q08183,
American Archivist,Archives in colleges and universities: Some comments on data collected by the society's committee on college and university archives,Wilson D.,1950,13,4,10.17723/aarc.13.4.k8106x86r426k77v,
American Archivist,The zionist central archives,,1950,13,4,10.17723/aarc.13.4.k547143432q787k7,
American Archivist,The problem of modern archives,Genicot L.,1950,13,4,10.17723/aarc.13.4.307u0025843662r7,
American Archivist,Remarks on contemporary archives,Doehaerd R.,1950,13,4,10.17723/aarc.13.4.j6820n7542548373,
American Archivist,"The ministerial collecting center near Kassel, Germany",Born L.,1950,13,3,10.17723/aarc.13.3.x5u3m5t42u5p1706,
American Archivist,Archives of the International Labour Office,Dubourg G.,1950,13,3,10.17723/aarc.13.3.8944t81126h26332,
American Archivist,The identification and description of the record series,Munden K.,1950,13,3,10.17723/aarc.13.3.5821722187692818,
American Archivist,The ecole des chartes,Quynn D.,1950,13,3,10.17723/aarc.13.3.y74m56p680625052,
American Archivist,The development of record systems,Chatfield H.,1950,13,3,10.17723/aarc.13.3.f31q7442x7162754,
American Archivist,New developments in record containers,Kimberly A.,1950,13,3,10.17723/aarc.13.3.e252433514632220,
American Archivist,Archives of the United Church of Canada,Kyte E.,1950,13,3,10.17723/aarc.13.3.w755g232pt611561,
American Archivist,The papers of the presidents,Rowland B.,1950,13,3,10.17723/aarc.13.3.55k5106816442h0h,
American Archivist,The maintenance of microfilm files,Noll D.,1950,13,2,10.17723/aarc.13.2.2136q4161487r304,
American Archivist,Some reference problems of picture collections,Baumhofer H.,1950,13,2,10.17723/aarc.13.2.2t3378458kk60324,
American Archivist,"The first conference of archivists, December 1909: The beginnings of a profession",Leland W.,1950,13,2,10.17723/aarc.13.2.h874j87h80441422,
American Archivist,"Cartographic and related records: What are they, how have they been produced and what are problems of their administration?",Friis H.R.,1950,13,2,10.17723/aarc.13.2.t7q67j04363m6220,
American Archivist,The public records of Canada: Recent developments in control and management,Halliday W.,1950,13,2,10.17723/aarc.13.2.1t6268606122m528,
American Archivist,The local records program in New York State,Crocker H.,1950,13,1,10.17723/aarc.13.1.v136603378455310,
American Archivist,The national library as the national records depository for Wales,Jones E.,1950,13,1,10.17723/aarc.13.1.n746ku76772jh085,
American Archivist,History and program of the Mississippi State Department of Archives and History,McCain W.,1950,13,1,10.17723/aarc.13.1.684740u253v81476,
American Archivist,Manuscript collections in the Bancroft Library,Hammond G.P.,1950,13,1,10.17723/aarc.13.1.d0j382k626366ll6,
American Archivist,The records of the democratic and republican national committees,McCoy D.R.,1951,14,4,10.17723/aarc.14.4.g54n241451273476,
American Archivist,Comprehensive historical indexing: The Virginia gazette index,Neiman S.,1951,14,4,10.17723/aarc.14.4.p4015p492756578h,
American Archivist,Church archives in the United States,Sweet W.W.,1951,14,4,10.17723/aarc.14.4.1226206882m53680,
American Archivist,Archivists and bibliographical control: A librarian's viewpoint,Clapp V.,1951,14,4,10.17723/aarc.14.4.04203535223r12g7,
American Archivist,Some suggestions for national archives cooperation with the state archives,McCain W.,1951,14,3,10.17723/aarc.14.3.vp70355011375236,
American Archivist,The business records survey in Wisconsin,Thomson R.,1951,14,3,10.17723/aarc.14.3.l4lw6411337830h8,
American Archivist,Areas of cooperation between the national archives and state archives,Holmes O.,1951,14,3,10.17723/aarc.14.3.l030884282123wm8,
American Archivist,Pioneering in manuscript seminars,Anderson R.,1951,14,3,10.17723/aarc.14.3.v156086181614801,
American Archivist,Report of ad hoc committee on manuscripts set up by the American historical association in December 1948,,1951,14,3,10.17723/aarc.14.3.v04l3gp7g324kq75,
American Archivist,Documentary research methods applied to historic sites and buildings,Porter C.,1951,14,3,10.17723/aarc.14.3.l57419916153j5r7,
American Archivist,Adventures in business records: The vanishing archives,Wik R.,1951,14,3,10.17723/aarc.14.3.t8h17078p0782472,
American Archivist,Archives of causes and movements: Difficulties and some solutions as illustrated by the Swarthmore college peace collection,Brinton E.,1951,14,2,10.17723/aarc.14.2.q658728853172774,
American Archivist,The American Catholic archival tradition,Browne H.,1951,14,2,10.17723/aarc.14.2.pjm262r15583l606,
